INFO 2025-01-10 21:45:50,171 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-10 21:45:50,172 autoreload Waiting for apps ready_event.
DEBUG 2025-01-10 21:45:50,181 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-10 21:45:50,203 autoreload Watching dir C:\Users\Huan\Desktop\VLLJUDGE\VLJudge\home\templates with glob **/*.
DEBUG 2025-01-10 21:45:50,203 autoreload Watching dir C:\Users\Huan\Desktop\VLLJUDGE\VLJudge\locale with glob **/*.mo.
DEBUG 2025-01-10 21:45:50,203 autoreload Watching dir C:\Users\Huan\Desktop\VLLJUDGE\VLJudge\home\locale with glob **/*.mo.
DEBUG 2025-01-10 21:45:50,203 autoreload Watching dir C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\channels\locale with glob **/*.mo.
DEBUG 2025-01-10 21:45:50,241 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-01-10 21:45:50,241 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-01-10 21:45:50,243 utils (0.001) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-01-10 21:45:50,246 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-01-10 21:45:50,302 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\ctypes\_endian.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,303 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1736137674.189081
DEBUG 2025-01-10 21:45:50,303 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\email\_encoded_words.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,303 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1736137671.7389305
DEBUG 2025-01-10 21:45:50,304 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\decimal.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,304 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\urls\utils.py first seen with mtime 1736137674.3642142
DEBUG 2025-01-10 21:45:50,304 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\utils\choices.py first seen with mtime 1736137674.3677282
DEBUG 2025-01-10 21:45:50,304 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1736137673.9158335
DEBUG 2025-01-10 21:45:50,305 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\email\_parseaddr.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,305 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\asyncio\selector_events.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,305 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\backends\mysql\features.py first seen with mtime 1736137674.2519476
DEBUG 2025-01-10 21:45:50,305 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1736137674.246948
DEBUG 2025-01-10 21:45:50,305 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1736137674.246948
DEBUG 2025-01-10 21:45:50,306 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\DLLs\_socket.pyd first seen with mtime 1728271646.0
DEBUG 2025-01-10 21:45:50,306 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1736137674.2823143
DEBUG 2025-01-10 21:45:50,306 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\encodings\cp1252.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,306 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1736137674.2878292
DEBUG 2025-01-10 21:45:50,306 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\middleware\security.py first seen with mtime 1736137674.3456886
DEBUG 2025-01-10 21:45:50,306 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1736137674.347693
